"Details","Name","Stage","Country (ISO)","Contract Signed","Original currency (ISO)","Total finance (original currency)","USD Estimate","Investment Details - Internal Rate of Return - Latest - (Value)","Purpose and classifications - Social challenge - (Value)","Intervention model","Policy sector","Purpose and classifications - Primary SDG goal - (Value)","Purpose and classifications - Secondary SDG goals - (Value)","Purpose and classifications - Primary SDG target - (Value)","Purpose and classifications - Secondary SDG targets - (Value)","Purpose and classifications - (Source ID's)","Purpose and classifications - (Notes)","Beneficiaries - target population","Beneficiaries type","Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value)","Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value)","Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value)","Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value)","Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value)","Service and beneficiaries - (Source ID's)","Service and beneficiaries - (Notes)"
"View","Single Homelessness Prevention Project (SHPS) Brent","Implementation","GB","","GBP","1,400,000","1801855.875","","","The intervention aims at reducing homelessness by two means. Prevention, where a beneficiary is at-risk of being evicted  or falling behind with their rent and need support to maintain the tenancy; and Relief, where a beneficiary is not in stable accommodation and needs help to identify some and sign a stable tenancy agreement. The programme will also work with each beneficiary over the long-term to sustain whatever positive arrangement was made.","Homelessness","","","","","source1","","Adults at-risk of being homeless in Brent.","1,600","Individual","","","","","source1",""
"View","Skill India Impact Bond","Implementation","IN","","USD","4,000,000","4000000","","Millions of Indians have lost their jobs during the Covid-19 pandemic. Youth have been hit harder than adults (25 and older) in the immediate crisis and risk bearing higher longer-term economic and social costs2. The attention of the impact bond is to address the youth employment crisis and specifically that for young women. The focus on women in the Skill Impact Bond is a response to the negative impact of the pandemic on women and employment. Women were eight times more likely to lose jobs during the national lockdown than men3. Women made up 24% of the workforce before the pandemic, yet accounted for 28% of all job losses as the pandemic took hold4.","The youth will be imparted with skills through training and provided access to wage employment in COVID-19 recovery sectors such as retail, apparel, logistics, etc.","Employment and training","8","","","","source1,source2","","Unemployed youth","50,000","Individual","","","","","source1","60 per cent of target population will be women and girls."
"View","Smoking Cessation Support Project for Smokers Living and Working in Toyonaka City","Implementation","JP","2020-07","","","","","","CureApp find smokers over the age of 20 who live or work in Toyonaka City and can agree to use the application on their smart phones. Participants are offered the following online smoking cessation support program for 6 months. A smartphone application ""Ascure Smoking Cessation"" (hereinafter referred to as the ""app"") developed with a doctor is provided. In addition, OTC drugs (nicotine patches, etc.) are distributed. The app is used to learn about the health risk of smoking and tips on how to quit smoking, as well as to record smoking cessation activities. Periodic online interviews are conducted by qualified medical personnel such as public health nurses and pharmacists.","Health","","","","","","","Smokers aged 20 and over who live or work in Toyonaka City","900","Individual","","","","","source1",""
"View","Sociaal Hospitaal Almelo (Social Hospital Almelo)","Implementation","NL","","EUR","1,800,000","2124680.0723185","","","","Child and family welfare","","","","","","","","","","","","","","source1,source2",""
"View","Social Hospital Health Impact Bond","Implementation","NL","2017-01","","","","","","The objective is to help 250 families in the next five years with better and cheaper plans for solving their problems. With this customized approach, families take care of themselves in control to permanently improve their situation. The starting point is the creation of a means of subsistence, which means, among other things, that the problematic debt situation is primarily resolved.","Health","","","","","source1","","250 families with multiple/complex problems, such as debt, psychological problems, judicial contacts, parenting problems and/or health problems.","250","","","","","","source4",""
"View","Social Impact Bond Project in Saijo city","Complete","JP","2018-04","","","","","","Plus Social Investment, in cooperation with Saijo City, receives applications from companies in the city for the Regional Industrial Competitiveness Enhancement Subsidy System. Companies in the city that apply for the program need to undergo the first and second screening by the selection committee established by Plus Social Investment, and if they are selected, they can start their businesses. After the completion of the projects, the companies need to submit performance reports to the selection committee and report on the status of achievement. The selection committee reviews the degree of achievement of each adopted project based on those reports.","Employment and training","","","","","","","Companies and Nonprofit organisations.","","Other","","","","","",""
"View","Solidarités nouvelles face au chômage CIS (New solidarity in the face of unemployment - Social Impact Bond)","Implementation","FR","2020-01","EUR","460,000","514032.06","","Long-term unemployment.","","Employment and training","","","","","source1, source2","","Long-term unemployed people","250","Individual","","","","","source1",""
"View","South Carolina Nurse-Family Partnership Pay for Success Project","Implementation","US","","USD","17,500,000","17500000","","","The intervention extends the service provider's nursing program statewide. The service provider partners first-time mothers with a personal, specially-trained nurse home visitor who guides them through pregnancy until their child's second birthday. The expectant moms benefit by getting the care and support they need to have a healthy pregnancy, while also developing a close relationship with a nurse who becomes a trusted resource they can rely on for advice in the future. Through this partnership, the nurse provides new moms with the confidence and tools they need to assure a healthy start for their babies and envision a life of stability and opportunities for both mom and child.","Health","","","","","source11,source3","","First-time, low-income moms at no more than twenty-eight weeks gestation with eligible/enrolled in Medicaid, with focus on ZIP codes with high concentrations of poverty.","3,200","","","","","","source4",""
"View","Specialized help for children and young people from families with drug or alcohol abuse - Denmark","Implementation","DK","2021-03","DKK","3,200,000","508744.0381558","","Many children and young people from families with drug or alcohol abuse experience difficulties in relation to their daily well-being and development as a result of their upbringing. However, young people quickly go under the radar, even though we know that children and young people who grow up in families with drug abuse do worse than their peers, just as growing up can have an impact on their education, work and family life later on.","The intervention consists of individual therapy and group courses, which are provided by the non-profit organization TUBA. TUBA specializes in helping children and young people from families with drug or alcohol abuse. The intervention has been tested in a large number of municipalities with positive effects on children and young people's well-being and coping skills and with a reduction in the young people's symptoms of anxiety, PTSD and depression.","Child and family welfare","8","4","","","source1,source2","","Young people aged 14-35 living in Brøndby Municipality","120","Individual","","","","","source1",""
"View","Spot Evora","Implementation","PT","2018-08","EUR","50,000","59018.89089","","School failure","Training programme using gamification, including activities of school responsibility, learning recovery of Portuguese and Mathematics, motivational Mentorship and parental engagement","Education","","","","","source1","","Students","60","Individual","","","","","",""
"View","St Basil's","Complete","GB","2015-01","GBP","1,030,000","1573611.052","","Homelessness","Participants are allocated a Support Worker, who is a source of intensive, practical and psycho-social support throughout the programme – on the basis of individually tailored action plans informed by completion of the Outcomes Star and Risk Tracker. The project is also building a team of Community Coaches in each local authority area to provide additional support to participants. The complexity of need with which young people present mean that this support is designed to come later in the participant journey.","Homelessness","","","","","source10,source2","","Young people aged 18-24 not in employment, education, or training (NEET); homeless as defined in the homelessness legislation but not in priority need under that legislation and deemed a priority for local authority support but unable to be accommodated in a supported housing scheme.","","","","351","Individual","","source2",""
"View","Staffordshire Children's Services ADS","Complete","GB","2019-03","GBP","225,000","","","","Staffordshire County Council developed a pilot under their umbrella drug and alcohol/family services contract to support families with children under Child Protection Plans (CPP) and their parents, who are receiving drug and alcohol support, to undergo intensive interventions to prevent the children being removed into Looked After Children (LAC).","Child and family welfare","","","","","","","Looked after children","","","","360","Individual","","",""
"View","Start from the Beginning - Chinese Supporting Scheme for Non-Chinese Speaking Students (NCS) in Kindergarten","Implementation","HK","","","","","","Government statistics show that one in three South Asian children in Hong Kong lives below the poverty line, lack of Chinese proficiency being one of the causes as it affects studies and future employment. The goal of the project is to perfect the Chinese as a second language pedagogy for NCS (Non-Chinese speaking) students in Hong Kong.","The aim of the project is to improve children's language skills in Cantonese and thus their competitiveness in the long run. The project expects to narrow the proficiency gap between Chinese and non-Chinese students by half. As a charitable organization committed to creating a world without poverty, Oxfam Hong Kong created the Chinese enrichment education support program for NCS children with an aim to improve their language skills in Cantonese.It provides four seed schools and 70 network schools with advanced professional training courses for their teachers and academic support spanning six areas.","Education","1,410","","","","source1","","Kindergartens, Non-Chinese speaking students and their teachers","1,444","Individual","","","","","source1","The project is meant to benefit 74 kindergartens, which accounts for around one-fifth of kindergartens in Hong Kong, along with 1,200 NCS students and 170 teachers, totally 1444 beneficiaries"
"View","Stevig Staan (Standing Strong) - Limburg, Netherlands","Implementation","NL","2022-12","EUR","1,800,000","1530000","","The senior population (70+) in the Northern- Limburg region (a province in the Netherlands) is approximately 40.000. The senior population experiences about 28.900 fall incidents per year. This leads to 2.800 treaments in the Emergency Room.","A falls prevention programme for senior population.","Health","3","","","","source1,source3","","Senior citizens aged 70 or older from North Limburg, Netherlands (Municipality of Beesel, Bergen, Gennep, Horst aan de Maas, Peel en Maas, Venlo and Venray), they live independently and have a high risk of falling (mobility/balancing problems or history of falling).","2,500","Individual","","","","","source1",""
"View","Sticking Together SIB","Implementation","AU","2018-09","USD","5,000,000","5000000","","Young people now make up 26.6% of the people experiencing long-term unemployment, up from 22.6% in 2008. The national youth unemployment rate in Australia has been persistently high for the past 25 years and is often double the adult rate. In July 2018 the national youth unemployment rate was 11.1% compared to the national adult rate of 5.3%. Young people under the age of 25 are typically less experienced and are more exposed to precarious jobs than adults. Casual and seasonal employment is common, providing lower long-term job security and career development opportunities. Some young people experience additional barriers to employment, including mental health issues, lack of stable accommodation, disability and criminal justice system involvement.","The Sticking Together Project is an intensive 60-week coaching program that supports young people to get ready for work and, importantly, develop life skills that enable them to stick with their jobs.","Employment and training","","","","","source3","The program is intended to provide additional support to the Commonwealth jobactive services, by providing holistic support to young people with complex and multiple barriers to employment to find and sustain employment.","Young people who are unemployed and experiencing multiple barriers to employment","870","Individual","","","","","",""
"View","Street Child - Sierra Leone Education Innovation Fund","Implementation","SL","2022-09","","","","","Improving the educational outcomes for some of the most disadvantaged children in Sierra Leone.","The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.","Education","4","","","","source1, source2","","School children from P1 - P6 in primary public schools","25,626","Individual","","","","","source1","The five SLEIC projects will work with 134,000 children in Sierra Leone. Streetchild project will work with 25626 students and 62 schools."
"View","Strong Beginnings Pay for Success Project","Implementation","US","","USD","8,500,000","8500000","","","The intervention focuses on improving health and early childhood development outcomes for high-risk African-American and Latina mothers and their babies through home-visitation, social support, referrals to resources, community programs and better coordination of care throughout pregnancy until the child's second birthday. More specifically, the intervention requires nurses to visit new mothers from early in their pregnancies until two years after their child's birth to provide prenatal care, breastfeeding support, parenting and life skills-building, and healthcare or emotional support. The intervention aims to reduce rates of infant mortality and low birth-weight.","Child and family welfare","","","","","source1","","Medicaid-eligible, high-risk pregnant women and their families.","1,700","","","","","","source1",""
"View","Stronger Families Norfolk","Implementation","GB","2019-01","GBP","","","","Children on the edge of care or in care","The intervention used is Family Functional Therapy – Child Welfare. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility.","Child and family welfare","","","","","source1","","Children and young people (C&YP) aged 6-15. There will be two target cohorts: Edge of Care cohort and In Care (reunifications)","400","Other","","","","","source1",""
"View","Stronger Families Suffolk","Implementation","GB","2019-03","GBP","","","","Children and young people on the edge of care or in care","Whole family-based intervention using Functional Family Therapy. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility. The intervention will reduce the number of older adolescents entering, and staying in care. This will be acomplished by:  - Intensive planned (and reactive) work by multi-disciplinary professionals working with the family network; - trusted and sustained relationships between family and professionals; - addresing the underlying issues of mental health, substance misuse, gangs, un-boundaried behaviour and acute family stress; and - wrap-around support including full-time education/training/employment, respite care, positive activities and meeting the needs of adults.","Child and family welfare","","","","","source1","","8-16 years (17 year olds with agreement from Commissioner) at risk of entering care / reunification of children already in care.","542","Individual","","","","","source1,source3",""
"View","Support for Foster Family Registration","Complete","JP","2021-08","","","","","","First, Keyassets Co.,Ltd finds potential foster carers from the local community. Then, Keyassets provides the following services to the foster carers: “assessment visits and interviews,” “pre-qualification training,” “sharing information on registered foster families,” “task-based training (ongoing training),” “post-placement support,” and “post-training support.”","Child and family welfare","","","","","source1","","Candidates for foster carers found by Keyassets (service provider), a non-profit organisation. Public relations activities (advertisements on public transport, circulars, events, etc.) are carried out in specific areas to find potential candidates.","7","Individual","","","","","source1",""
"View","Support for Self-reliance of Persons Requiring Support","Complete","JP","2021-08","","","","","","The Kumamoto Health Support Research Institute assigns rehabilitation specialists to the nursing care consultation counter in Koshi City, and provides services that lead to the proper use of welfare equipment and home renovations and support for independence as part of the Comprehensive Project for Daily Life Support* (*A nursing care prevention project conducted by a municipality for those who need support and those above 65 years old).","Health","","","","","","","","50","Individual","","","","","",""
"View","Supporting independent living for disabled people in the Republic of Sakha (Yakutia)","Implementation","RU","2021-03","Russian Ruble","","","","More than 1,100 citizens with mental disorders of the Republic of Sakha (Yakutia) receive social services in a residential form in psycho-neurological boarding house (PNBH). The challenges that the system faces are: - The high cost of this form of service for the region; - In the current structure of PNBH there are buildings with a low degree of fire resistance; - The bed fund is overloaded; - There are practically no alternatives to the residential form;  - High risk of admitting citizens with mental disorders living at home with elderly parents into psycho-neurological boarding house.","The project aims at achieving adaptation of disabled people to the conditions of accompanied living in separate premises (12 citizens from PNBH) and individual living at home (18 citizens living at home with parents/guardians) with a focus on the development of their independence and self-realization. The project includes: - socialization of citizens with mental disorders; - training in the skills of independent living; - adaptation of citizens with mental disorders to the conditions of accompanied residence; - work with relatives / guardians (psychological assistance, joint development of an individual adaptation plan, training); - work with personnel (recruitment, training, development, supervision and prevention of burnout). The project also includes activities of preparation for households where citizens will be transferred from PNBH within the framework of the project.","Health","3","10","","","source1,source2","","Group 1: citizens 18 years old and over with disabilities, living in the Republic of Sakha (Yakutia), receiving social services in a residential form (in a residential social service organization) (12 people). Group 2: citizens 18 years old and over with disabilities, living at home (at the place of residence) in the Republic of Sakha (Yakutia), recognized as needing social services in a residential form, and have never received social services in a residential form (18 people).","30","Individual","","","","","source2",""
"View","Supporting self-reliance among the elderly in need of care/support and preventing escalation","Implementation","JP","2020-08","","","","","","At the outset of service delivery, KUMAMOTO Wellness Support Institute Inc. will conduct research on usage of care facilities, which will result in visualised data on changes in needs for each facility. The result will be communicated with all the care facilities through training and recommended changes. The programme also provides training for users of thse facilities to maintain their health and prevent escalation. The research will also be visible to local residents through seminars and promotion, further incentivising care facilities to implement these changes.","Health","","","","","","","All care and rehabilitation facilities in Omuta city (76 facilities, 3,122 users in total are categorised as 'in need of support' level 1 and 2, and 'in need of care' level 1 to 4).","3,122","Individual","","","","","source1","All the day-care and day-care rehabilitation facilities in Omuta involve 76 facilities and 3,122 users with the support needing level: 1 to 4."
"View","Sweet Dreams SIB","Implementation","CA","","CAD","1,000,000","905184.5157","","","The intervention seeks to provide safe accomodation and support that allows at-risk young single mothers to continue with  their education or participate in work-preparation activities. The treatment can last from 2 months to 2 years, depending on need.","Child and family welfare","","","","","source1","","Single mothers with children under the age of 8 who are at risk of requiring services from Child and Family Services.","22","","","","","","source1",""
"View","Target Assistance - AVA now (PERSPECTIVE: DIGITIZATION project)","Complete","AT","","EUR","300,000","","","The innovative initiative aimed to address the double challenge of the lack of assistance staff for people with disabilities in Austria and the below-average employment rate of women, especially women with low educational qualifications, after maternity leave or family care leave","To promote the independence and quality of life of people with disabilities and at the same time empower unemployed women. With professional training and mentoring, they are trained to support people with disabilities and thus find meaningful and flexible employment. The ava platform was founded for this purpose: https://ava.services/was-ist-ava/ .","Employment and training","10","8","Women with disabilities","Women with disabilities","source1, source2","","Women with disabilities, especially women with low educational qualifications, after maternity leave or family care leave.","","Individual","","","","","source1",""
"View","Teens and Toddlers","Complete","GB","","GBP","800,000","1263729.256","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Phase 1 pairs at-risk 14 and 15-year-olds with toddlers in a nursery setting one afternoon a week for 18 weeks, using this to explore their own vulnerabilities and aspirations, followed by an hour in a classroom to work through a structured development programme (to QCF entry-level qualification). In phase 2 participants meet facilitators monthly and focus on their work in school.","Employment and training","","","","","source7,source2","","Young people (14 - 15 year olds) in schools in areas with high levels of gang involvement and high rates of being NEET","","","","1,317","Individual","","source2",""
"View","Teens and Toddlers","Complete","GB","","GBP","1,650,000","2520833.239","","","Teens and Toddlers (now Power2) delivered Aim for More, aiming to support up to 1,681 young people aged 14-15. The project operated in five local authorities: Bury, Rochdale, Stockport, Trafford and Wigan. The aim was for young people to acquire work experience in a nursery, mentoring a disadvantaged toddler, gain entry level qualifications in personal and social development and participate in classroom sessions during an 18 week programme. Following this, they received ongoing support towards their GCSEs, including group meetings, individualised tutoring, and careers coaching and sign-posting.","Employment and training","","","","","source7,source1","","Young people aged 14 to 17 years in Greater Manchester who are in care/edge of care, have a history of offending/at risk of offending and/or other risky behaviour (eg drugs/teen pregnancy), have behavioural or mental health issues and are truanting","","","","","","","source1",""
"View","The Advance Programme","Complete","GB","","GBP","3,000,000","4738984.709","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and dif culties faced; and an ongoing process of goal setting and progression facilitation.Fully integrated support programme with a flexible, non-uniform delivery model. School-based delivery provides Level 1 and 2 coaching, family counselling, extracurricular activities and work experience tasters linked to supported progression onto apprenticeships. A strong focus on embedding literacy and numeracy skills within vocational training, supplemented by small tutorial groups. Targeted engagement outside schools. Delivered on agency premises and at outreach venues.","Employment and training","","","","","source6,source2","","Young people between the ages of 14 and 24, who are NEET or at risk of becoming NEET in ‘hot- spots’ within the City of Birmingham","","","","2,900","","","source2",""
"View","The Blood Bank of Delmarva Young Blood Sustainability Project","Implementation","US","","USD","450,000","450000","","","The intervention seeks to scale the provider's bloodmobile program.","Health","","","","","source4,source1","","Potential Millenial donors aged 17 - 34 years old from Delaware.","500","","","","","","source4",""
"View","The Colour Kitchen","Implementation","NL","2015-04","EUR","734,000","814055.0155","","","The Colour Kitchen provides young adults with programmes that combine learning and working towards a diploma and a job. The Colour Kitchen is a restaurant that trains the young adults to become chefs, hosts/hostesses or catering-assisstants. When they have finished the programme young adults can use their training and diploma to find a job in the field.","Employment and training","","","","","source2,source4","","Young adults aged 17-35 who have no qualifications and have been unemployed for 6-24 months in the municipality of Utrecht.","252","","","","","","source4",""
"View","The Cuyahoga Partnering for Family Success Program","Implementation","US","2014-10","USD","3,850,000","3850000","","","The intervention is twofold. First, the service provider linkS each homeless caregiver to housing. Second, the provider delivers an evidence-based homelessness transition therapy known as ""Critical Time Intervention"" (i.e. CTI), which helps vulnerable families that are experiencing homeless to slowly reconnect to community support networks and settle succesfully in newly attained housing. CTI is paired with age-appropriate, evidence-based trauma services that will strengthen healthy and secure caregiver-child relationships. The intervention aims to reduce the time children spend in out-of-home foster care by stabilizing the family's home environment (e.g. encourage participants to participate in mental health services and substance abuse counseling, find employment etc.) and increasing family reunification success.","Child and family welfare","","","","","source7,source1","","Caregivers identified as homeless, who have children currently in Department of Children and Family Services (i.e. DCFS)  temporary out-of-home placement","135","","","","","","source8",""
"View","The Deshkan Ziibi Conservation Impact Bond","Implementation","CA","2019-01","CAD","130,000","97744.360902256","","The world is facing dual biodiversity and climate crises, with ecosystems under threat in Canada and around the globe. In addition to being Canada's  most densely populated region , the Carolinian Zone is the most biodiverse ecoregion in the country. The Carolinian Zone is home to  more than 50% of the federally listed Species at Risk  in Canada and has been identified as the most imperiled region in Ontario.","The DZCIB is an outcomes-based financial instrument focused on reconciling peoples and ecosystems by building capacity for growing healthy landscapes with Indigenous leadership and nature-smart solutions.","Agriculture and environment","","","","","source1,source2","","The DZCIB is a five-year pilot project that seeks to accelerate healthy landscapes, nature-based solutions, advance Indigenous reconciliation, and empower human-nature relationships in southern Ontario. Included in the DZCIB pilot are 69 hectares (170 acres) of land in the Carolinian Zone.","","","","","","","source1",""
"View","The Refugee Impact Bond","Implementation","JO","2021-09","USD","9,825,000","9825000","","The Syrian conflict has displaced more than 11 million people. 6 million refugees have settled in five neighbouring countries, including Lebanon and Jordan. 85% of Syrian refugees across the region live in urban areas and 6 in 10 refugees live in extreme poverty. Women and young people are the most vulnerable. This first-of-its-kind ""Refugee Impact Bond"" aims to significantly contribute to closing the funding gap and addressing the need for more inclusive and sustainable approaches to the economic empowerment of refugees through (i) the funding of a programme that focuses on durable results ; addresses the specific needs of vulnerable women and youth ; Includes host communities; (ii) A financing mechanism – the DIB – that empowers the delivery partner with multi-year funding and the flexibility to adapt programming with a sole focus on outcomes (rather than activities); (iii)The generation of independently verified and robust evidence and the sharing of the learnings.","The Refugee Impact Bond funds the Near East Foundation UK to deliver a vocational, entrepreneurship, and resilience-building programme for refugees and vulnerable members of their host communities in Jordan.","Employment and training","15,810","","","","","","Jordanians and refugees","4,380","Individual","","","","","",""
"View","The Skill Mill","Implementation","GB","2020-06","GBP","1,000,000","1321900","0.11","Skill Mill Ltd provides employment opportunities for young ex-offenders, preparing them to long term sustainable employment, reducing re-offending and increasing community safety.","Skill Mill service centres around provision of employment; the young ex-offenders are offered 9 to 5 paid employment four days a week and encouraged to acquire a Level 2 qualification. In addition, participants are supported through mentoring given by both the supervisor on a day to day basis and more in-depth support from a dedicated guidance counsellor.","Criminal justice","4","8","","","source1, source2","","High risk ex-offenders aged 16-18","252","Individual","","","","","source1",""
"View","The Step Down Programme (Birmingham)","Complete","GB","2014-11","GBP","1,000,000","1645468.57","","","The Birmingham Residential Migration programme aims to provide a pioneering new foster placement scheme across Birmingham. It will aim to find stable family foster placements for around 80 young people currently in residential care in the Birmingham area. Core Assets Residential Migration model is a structured intensive foster placement specifically designed for young people transitioning from residential care to a family placement. Skilled and experienced foster carers are supported with a wrap-around team of professionals and the intervention is delivered through a structured phased approach that lasts for one year and can be tailored to fit the needs of each individual child.","Child and family welfare","","","","","source6,source1","","Young people aged 11-15 currently in residential care in the Birmingham area.","","","","31","Individual","","source7",""
"View","The Utkrisht Impact Bond","Complete","IN","2017-11","USD","2,900,000","2900000","","Requiring that private sector facilities have high quality standards could improve health for many of the 1.4 billion people in India and make progress toward health-related Sustainable Development Goal 3. Private facilities—which provide 80 percent of all outpatient and 60 percent of all inpatient care in the country and house the vast majority of Indian physicians—are subject to limited regulations (Tripathi et al. 2019; Chakravarthi 2018). As a result, private facilities vary greatly in size, services, and quality. Private sector clients are subject to arbitrary costs, inconsistent clinical care, and variable treatment by facility staff—and they rarely have any formal means of seeking recourse or accountability should an issue occur in their care (Chakravarthi 2018; Shukla et al. 2018).","Two service providers, Hindustan Latex Family Planning Promotion Trust (HLFPPT) and Population Services International (PSI), are supporting private facilities to improve the quality of care provided to new mothers and newborns. The service providers will also support the private facilities to become certified by the joint quality standard (JQS).","Health","3","","","","source2,source3,source8","","Private facilities across Rajasthan, meeting the following criteria for facility inclusion Scale: Less than 100 beds, minimum of 20 deliveries per month Infrasturcture: 24/7 electricity; 24/7 water supply; operating theatre; labour room Staff: full-time gynecologist; at least three full-time midwives Engagement: interest in quality improvement; willingness to share data Compliance: pollution control registration","10,000","Individual","","13,449","Individual","","source6","Notes on beneficiaries: The Utkrisht Impact Bond supported private facilities across Rajasthan to improve the quality of care provided to new mothers and newborns. The initial aim of the DIB was to avert 10,000 maternal and neonatal deaths. At the end of the DIB, it is expected that quality of care achieved by participating Utkrisht DIB facilities will avert an estimated 13,449 maternal and neonatal deaths by 2023."
"View","The Veterans Coordinated Approach to Recovery and Employment (Veterans CARE)","Implementation","US","","USD","5,100,000","5100000","","","The intervention involves local VA medical centers to deliver Individual Placement and Support (IPS), a highly personalized evidence-based approach to supported employment, to people with mental health needs. The IPS model is based on eight distinct principles of practice, namely focus on competitive employment, eligibility based on client choice, integration of rehabilitation and mental health services, attention to worker preferences, personalized benefits counselling, rapid job search, systematic job development, and time-unlimited, individualized support.","Employment and training","","","","","source5,source1","","Unemployed or underemployed veterans with service-connected PTSD.","480","","","","","","source1",""
"View","The Youth CONNECT Social Benefit Bond (Queensland)","Implementation","AU","2017-06","AUD","5,000,000","3832128.031","","","The Youth CONNECT SBB provides support for young people aged 15-25 exiting statutory care and at risk of homelessness. The ‘housing first’ approach recognises the importance of stable and secure housing to prevent immediate homelessness and provide a sense of safety — giving the young person an opportunity to focus on other important life-building skills. Participants are supported through the delivery of a comprehensive case management framework built on therapeutic and practical strategies and actions. The programme aims to help young care leavers enjoy better living conditions, enhanced participation in education and the workforce, better mental health outcomes, stronger personal relationships and improved social integration.","Homelessness","","","","","source7,source1","","Young people aged 15 to 18 years exiting the child protection system who have had four or more placements. Young people aged 15 to 25 years exiting the youth justice system, adult corrections system or in contact with homelessness services, who have past experience with the child protection system.","","","","","","","source8",""
"View","Think Forward (Tomorrow's People)","Complete","GB","","GBP","900,000","1421695.413","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Highly trained coaches in East London schools identify and support 14 to 17 year olds at risk of becoming NEET. Coaches provide a single point of contact for the young people for tailored, personal guidance and effective connections to employment opportunities (e.g. activities and links to training and to employers (in the City of London)). Delivered by progression managers in 10 schools and in community venues.","Employment and training","","","","","source7,source2","","The 20% of school pupils in the Shoreditch area most at risk of becoming NEET.","","","","1,000","","","source2",""
"View","TOP - Transforma O teu potencial (Transform your potential)","Implementation","PT","2020-07","EUR","57,924","64727.7979","","Criminal Recidivism","TOP (Transform Your Potential) is a program aimed at valuing young people who are confined in educational centers, aiming to enhance their social integration after the end of the measure, through an integrated training program and subsequent monitoring. In this project, taking place in 'Centro Educativo de Lisboa', the training should have an important role in reducing the risk of recurrence.","Criminal justice","","","","","source1,source3","","Young inmates","18","Individual","","","","","",""
"View","Treatment of Families Affected by Violence - Denmark","Implementation","DK","2021-04","DKK","4,700,000","747217.80604134","","Violence in close relationships leaves scars for life - both for the partner exposed to violence and for the children who grow up in a home with violence. With derived social, health and employment-oriented effects, violence also has large socio-economic costs.","Specialized therapy to families in domestic violence, including therapy to the violent partner, their partner and children. A goal of the intervention is also to create more knowledge about the consequences and derived costs associated with violence in families, and how social interventions that work can create savings across municipalities, regions and the state. The investment case therefore affects municipal, state and regional budgets, as violence is costly for both the social, health and judicial systems.","Child and family welfare","","11","","","source1,source2","","","25","Individual","","","","","source1",""
"View","Treatment of Stress SIB - Denmark","Implementation","DK","2022-12","DKK","1,000,000","158982.51192369","","Despite many years of various efforts against stress, the number of stressed Danes has steadily increased. It is estimated that 35,000 Danes are on sick leave due to stress. The Danish Health Authority's Health Profile, Danskernes Sundhed, points out that the proportion of Danes with a high stress level has increased from 20.8% in 2010 to 25.1% in 2017. According to the Danish Health Authority (2016), a psychologically stressful work environment costs DKK 3.4 billion. per year in Denmark, including lost productivity, 670,000 lost working days due to short-term sickness absence, 350,000 days of long-term sickness absence and 170 early retirements. In most of the country's municipalities today, evidence-based stress treatment is not offered to citizens suffering from stress, despite the fact that it is a disease that affects widely and that we can remedy with treatment that we know works - here Åben og Rolig is one of the best examples at home.","Evidence-based group treatment to people suffering from stress through knowledge, professional support and strategies to reduce stress and strengthen mental health. Åben og Rolig is an evidence-based stress prevention and treatment concept for adults and young people developed at the University of Copenhagen, which is offered and run by Fonden Mental Sundhed.","Health","3","","","","source1,source2","","Stressed citizens in Denmark","70","Individual","","","","","source1",""
